Disease Name,Recommended Treatment
apple apple scab,"Fungicide sprays (captan, myclobutanil)"
apple fire blight,Prune infected branches + bactericides
apple powdery mildew,Sulfur-based fungicides
apple healthy leaf,No treatment needed
blueberry leaf rust,Mancozeb or systemic fungicide
blueberry powdery mildew,Sulfur-based fungicides
blueberry leaf spot,Copper-based fungicides
blueberry healthy leaf,No treatment needed
cherry leaf spot,Copper-based fungicides
cherry brown rot,Fungicide sprays (captan or thiophanate-methyl)
cherry healthy leaf,No treatment needed
corn northern leaf blight,Fungicide sprays (azoxystrobin)
corn gray leaf spot,Fungicide application + crop rotation
corn healthy leaf,No treatment needed
grape powdery mildew,Sulfur-based fungicides
grape downy mildew,Copper-based sprays
grape healthy leaf,No treatment needed
orange citrus greening,Remove infected branches + zinc fertilizers
orange leaf curl,Copper fungicide sprays
orange leaf spot,Copper-based sprays
orange healthy leaf,No treatment needed
peach leaf curl,Fungicide sprays (mancozeb or copper)
peach powdery mildew,Sulfur-based fungicides
peach bacterial spot,Copper-based sprays
peach healthy leaf,No treatment needed
pepper bacterial spot,Copper-based sprays
pepper leaf curl,"Remove infected plants, use resistant varieties"
pepper healthy leaf,No treatment needed
potato late blight,Fungicide sprays (mancozeb or chlorothalonil)
potato early blight,Fungicide sprays + crop rotation
potato healthy leaf,No treatment needed
raspberry leaf spot,Fungicide sprays (captan)
raspberry cane blight,Prune infected canes
raspberry healthy leaf,No treatment needed
soybean leaf spot,Fungicide sprays (azoxystrobin)
soybean bacterial blight,Copper-based bactericides
soybean rust,Fungicide sprays (azoxystrobin)
soybean healthy leaf,No treatment needed
squash powdery mildew,Sulfur-based fungicides
squash downy mildew,Copper-based fungicide sprays
squash healthy leaf,No treatment needed
strawberry leaf spot,Fungicide sprays (captan)
strawberry powdery mildew,Sulfur-based fungicides
strawberry healthy leaf,No treatment needed
tomato early blight,Fungicide sprays + crop rotation
tomato late blight,Fungicide sprays (mancozeb)
tomato leaf curl,"Remove infected plants, use resistant varieties"
tomato healthy leaf,No treatment needed
tobacco mosaic virus,"Remove infected plants, use resistant varieties"
tobacco black shank,Fungicide sprays (mefenoxam)
tobacco healthy leaf,No treatment needed
skumawiki leaf disease,Fungicide or pesticide sprays depending on infection
skumawiki healthy leaf,No treatment needed
onion purple blotch,Fungicide sprays (chlorothalonil or mancozeb)
onion downy mildew,Remove infected leaves + apply fungicides (mancozeb or metalaxyl)
onion thrips damage,Insecticides (spinosad or neem oil) and cultural control
onion white rot,Fungicide soil treatment + crop rotation
onion leaf disease,Identify specific pathogen; apply corresponding fungicide or bactericide
onion healthy leaf,No treatment needed
